part_num,part_name,part_cat_id,year_from,year_to,part_url,part_img_url,prints,molds,alternates,print_of,external_ids.BrickLink,external_ids.BrickOwl,external_ids.Brickset,external_ids.LDraw,external_ids.LEGO,external_ids.Peeron,category_name,dim1,dim2,dim3,bracket_info
6112,Brick 1 x 12,11,1993,2025,https://rebrickable.com/parts/6112/brick-1-x-12/,https://cdn.rebrickable.com/media/parts/elements/4211522.jpg,['6112pr0001'],[],[],,['6112'],['783190'],['6112'],['6112'],['6112'],,Bricks,1,12,,
30000,Brick Special 2 x 2 with 2 Pins and Axle Hole,5,1995,2025,https://rebrickable.com/parts/30000/brick-special-2-x-2-with-2-pins-and-axle-hole/,https://cdn.rebrickable.com/media/parts/elements/4211024.jpg,[],[],[],,['30000'],['341087'],"['30000', '65514']",['30000'],"['30000', '65514']",,Bricks Special,2,2,,
2877,Brick Special 1 x 2 with Grille,5,1991,2025,https://rebrickable.com/parts/2877/brick-special-1-x-2-with-grille/,https://cdn.rebrickable.com/media/parts/elements/4210636.jpg,[],[],[],,['2877'],['701236'],['2877'],['2877'],['2877'],,Bricks Special,1,2,,
3660,"Slope Inverted 45° 2 x 2 [Ovoid Bottom Pin, Bar-sized Stud Holes]",3,1976,2025,https://rebrickable.com/parts/3660/slope-inverted-45-2-x-2-ovoid-bottom-pin-bar-sized-stud-holes/,https://cdn.rebrickable.com/media/parts/elements/366026.jpg,"['3660pr0001', '3660pr0002', '3660pr0005', '3660pr0010', '3660pr0009', '3660pr0003', '3660pr0006', '3660pr0008', '3660pr0007', '3660pr0004']","['76959', '3660a', '3660b', '7261']",['3660b'],,['3660'],['384426'],['3660'],"['3660b', '3660c']",['3660'],,Bricks Sloped,2,2,,"Ovoid Bottom Pin, Bar-sized Stud Holes"
6565,Wedge 3 x 2 Left,6,1994,2025,https://rebrickable.com/parts/6565/wedge-3-x-2-left/,https://cdn.rebrickable.com/media/parts/elements/4527766.jpg,[],[],[],,['6565'],['680183'],['6565'],['6565'],['6565'],,Bricks Wedged,3,2,,
6564,Wedge 3 x 2 Right,6,1994,2025,https://rebrickable.com/parts/6564/wedge-3-x-2-right/,https://cdn.rebrickable.com/media/parts/elements/4526931.jpg,[],[],[],,['6564'],['629180'],['6564'],['6564'],['6564'],,Bricks Wedged,3,2,,
3003,Brick 2 x 2,11,1985,2025,https://rebrickable.com/parts/3003/brick-2-x-2/,https://cdn.rebrickable.com/media/parts/elements/300301.jpg,"['3003pr0053', '3003pr0052', '3003pr0001', '3003pr0035', '3003pr0002', '3003pr0175', '3003pr0054', '3003pr0141', '3003pr0160', '3003pr0055', '3003pr0140', '3003pr0061', '3003pr0171', '3003pr0057', '3003pr0138', '3003pr0029', '3003pr0025', '3003pr0024', '3003pr0021', '3003pr0010', '3003pr0019', '3003pr0020', '3003pr0027', '3003pr0043', '3003pr0028', '3003pr0030', '3003pr0031', '3003pr0033', '3003pr0017', '3003pr0015', '3003pr0007', '3003pr0049', '3003pr0036', '3003pr0047', '3003pr0014', '3003pr0050', '3003pr0039', '3003pr0016', '3003pr0046', '3003pr0026', '3003pr0044', '3003pr0013', '3003pr0037', '3003pr0009', '3003pr0011', '3003pr0012', '3003pr0022', '3003pr0023', '3003pr0117', '3003pr0116', '3003pr0008', '3003pr0034', '3003pr0121', '3003pr0137', '3003pr0045', '3003pr9998', '3003pr0139', '3003pr0048', '3003pr0006', '3003pr0018', '3003pr0146', '3003pr0062', '3003pr0042', '3003pr9999', '3003pr1002', '3003pr0119', '3003pr0051', '3003pr0156', '3003pr0155', '3003pr0038', '3003pr0032', '3003pr0040', '3003pr0003', '3003pr0136', '3003pr0103', '3003pr0104', '3003pr0005', '3003pr0115', '3003pr0173', '3003pr0125', '3003pr0142', '3003pr0144', '3003pr0145', '3003pr0147', '3003pr0158', '3003pr0164', '3003pr9997', '3003pr0060', '3003pr0004']","['3003a', '6223', '3003b']","['3003c', '3003d', '3003b', '3003e']",,['3003'],['939628'],"['15591', '3003', '62404']",['3003'],"['15591', '3003', '62404']",,Bricks,2,2,,
3020,Plate 2 x 4,14,1962,2025,https://rebrickable.com/parts/3020/plate-2-x-4/,https://cdn.rebrickable.com/media/parts/elements/302026.jpg,[],['3020a'],['3709'],,['3020'],['80025'],"['3020', '5584']",['3020'],"['3020', '5584']",,Plates,2,4,,
2412b,Tile Special 1 x 2 Grille with Bottom Groove,15,1990,2025,https://rebrickable.com/parts/2412b/tile-special-1-x-2-grille-with-bottom-groove/,https://cdn.rebrickable.com/media/parts/elements/241226.jpg,[],['2412a'],[],,['2412b'],['363948'],"['15561', '2412', '30244', '35248', '51815', '71957', '72582', '78812']",['2412b'],"['15561', '2412', '30244', '35248', '51815', '71957', '72582', '78812']",,Tiles Special,1,2,,
3023,Plate 1 x 2,14,1962,2025,https://rebrickable.com/parts/3023/plate-1-x-2/,https://cdn.rebrickable.com/media/parts/elements/302326.jpg,"['3023pr0005', '3023pr0001', '3023pr0002', '3023pr0003', '3023pr9997', '3023pr0006', '3023pr0004', '3023pr9998', '3023pr0010', '3023pr0009', '3023pr0011']",['3023a'],[],,['3023'],['44980'],"['28653', '3023', '6225']","['28653', '3023b']","['28653', '3023', '6225']",,Plates,1,2,,
