part_num,part_name,part_cat_id,year_from,year_to,part_url,part_img_url,prints,molds,alternates,print_of,external_ids.BrickLink,external_ids.BrickOwl,external_ids.Brickset,external_ids.LDraw,external_ids.LEGO,external_ids.Peeron,category_name,dim1,dim2,dim3,bracket_info
30357,Plate Round Corner 3 x 3,21,1999,2025,https://rebrickable.com/parts/30357/plate-round-corner-3-x-3/,https://cdn.rebrickable.com/media/parts/elements/4212075.jpg,[],[],[],,['30357'],['796965'],['30357'],['30357'],['30357'],,Plates Round Curved and Dishes,3,3,,
3020,Plate 2 x 4,14,1962,2025,https://rebrickable.com/parts/3020/plate-2-x-4/,https://cdn.rebrickable.com/media/parts/elements/302026.jpg,[],['3020a'],['3709'],,['3020'],['80025'],"['3020', '5584']",['3020'],"['3020', '5584']",,Plates,2,4,,
3795,Plate 2 x 6,14,1978,2025,https://rebrickable.com/parts/3795/plate-2-x-6/,https://cdn.rebrickable.com/media/parts/elements/379526.jpg,[],['3795a'],['32001'],,['3795'],['735504'],['3795'],['3795'],['3795'],,Plates,2,6,,
2419,Wedge Plate 3 x 6 Cut Corners,49,1987,2025,https://rebrickable.com/parts/2419/wedge-plate-3-x-6-cut-corners/,https://cdn.rebrickable.com/media/parts/elements/241926.jpg,[],[],[],,['2419'],['919162'],"['2419', '43127']",['2419'],"['2419', '43127']",,Plates Angled,3,6,,
54200,Slope 30° 1 x 1 x 2/3 (Cheese Slope),3,2004,2025,https://rebrickable.com/parts/54200/slope-30-1-x-1-x-23-cheese-slope/,https://cdn.rebrickable.com/media/parts/elements/4263949.jpg,"['54200pr0004', '54200pr0005', '54200pr0003', '54200pr0001', '54200pr0006', '54200pr0007', '54200pr0013', '54200pr0014', '54200pr0017', '54200pr0015', '54200pr0016', '54200pr0010', '54200pr0008', '54200pr0020', '54200pr0018', '54200pr0022', '54200pr0019', '54200pr0021', '54200pr0027', '54200pr0023', '54200pr0024', '54200pr0025', '54200pr0026', '54200pr0028', '54200pr0009', '54200pr0029', '54200pr0002']",[],[],,['54200'],['158788'],"['18862', '33847', '35338', '50746', '54200', '63290']",['54200'],"['18862', '33847', '35338', '50746', '54200', '63290']",,Bricks Sloped,1,1,2/3,
50950,Slope Curved 3 x 1 No Studs,37,2005,2025,https://rebrickable.com/parts/50950/slope-curved-3-x-1-no-studs/,https://cdn.rebrickable.com/media/parts/elements/4249112.jpg,['50950pr0001'],[],[],,['50950'],['727597'],"['110132', '1605', '50950', '63278']",['50950'],"['110132', '1605', '50950', '63278']",,Bricks Curved,3,1,,
43710,Wedge Sloped 4 x 2 Triple Left,6,2003,2025,https://rebrickable.com/parts/43710/wedge-sloped-4-x-2-triple-left/,https://cdn.rebrickable.com/media/parts/elements/4210866.jpg,['43710pr0001'],[],[],,['43710'],['172740'],['43710'],['43710'],['43710'],,Bricks Wedged,4,2,,
43711,Wedge Sloped 4 x 2 Triple Right,6,2003,2025,https://rebrickable.com/parts/43711/wedge-sloped-4-x-2-triple-right/,https://cdn.rebrickable.com/media/parts/elements/4210867.jpg,['43711pr0001'],[],[],,['43711'],['701059'],['43711'],['43711'],['43711'],,Bricks Wedged,4,2,,
85984,Slope 30° 1 x 2 x 2/3,3,2009,2025,https://rebrickable.com/parts/85984/slope-30-1-x-2-x-23/,https://cdn.rebrickable.com/media/parts/elements/4548180.jpg,"['85984pr0006', '85984pr0143', '85984pr0021', '85984pr0002', '85984pr0013', '85984pr9998', '85984pr0045', '85984pr0001', '85984pr0018', '85984pr9997', '85984pr0020', '85984pr0015', '85984pr0017', '85984pr0019', '85984pr0011', '85984pr0042', '85984pr0016', '85984pr0026', '85984pr0029', '85984pr0033', '85984pr0034', '85984pr0032', '85984pr0036', '85984pr0035', '85984pr0043', '85984pr9996', '85984pr0044', '85984pr0046', '85984pr0047', '85984pr0050', '85984pr0049', '85984pr0048', '85984pr9993', '85984pr9991', '85984pr9990', '85984pr0051', '85984pr0052', '85984pr0053', '85984pr0054', '85984pr0003', '85984pr0028', '85984pr0027', '85984pr0004', '85984pr0024', '85984pr9999', '85984pr0037', '85984pr0012', '85984pr0038', '85984pr0010', '85984pr0041', '85984pr0005', '85984pr0007', '85984pr0008', '85984pr0014']",[],[],,['85984'],['444606'],"['83473', '85984']",['85984'],"['83473', '85984']",['x1972'],Bricks Sloped,1,2,2/3,
3022,Plate 2 x 2,14,1962,2025,https://rebrickable.com/parts/3022/plate-2-x-2/,https://cdn.rebrickable.com/media/parts/elements/302226.jpg,[],[],[],,['3022'],['566026'],"['3022', '94148']","['3022', '94148']","['3022', '94148']",,Plates,2,2,,
3040b,Slope 45° 2 x 1 with Bottom Pin,3,1978,2025,https://rebrickable.com/parts/3040b/slope-45-2-x-1-with-bottom-pin/,https://cdn.rebrickable.com/media/parts/elements/304001.jpg,"['3040bpr0003', '3040bpr0013', '3040bpr0011', '3040bpr0010', '3040bpr0006', '3040bpr0004', '3040bpr0008', '3040bpr0012', '3040bpr0007', '3040bpr0009', '3040bpr0002', '3040bpr9999', '3040bpr9998', '3040bpr0001', '3040bpr0005']",['3040a'],[],,['3040'],['735007'],"['3040', '35281', '6270']",['3040b'],"['3040', '35281', '6270']",,Bricks Sloped,2,1,,
3003,Brick 2 x 2,11,1985,2025,https://rebrickable.com/parts/3003/brick-2-x-2/,https://cdn.rebrickable.com/media/parts/elements/300301.jpg,"['3003pr0053', '3003pr0052', '3003pr0001', '3003pr0035', '3003pr0002', '3003pr0175', '3003pr0054', '3003pr0141', '3003pr0160', '3003pr0055', '3003pr0140', '3003pr0061', '3003pr0171', '3003pr0057', '3003pr0138', '3003pr0029', '3003pr0025', '3003pr0024', '3003pr0021', '3003pr0010', '3003pr0019', '3003pr0020', '3003pr0027', '3003pr0043', '3003pr0028', '3003pr0030', '3003pr0031', '3003pr0033', '3003pr0017', '3003pr0015', '3003pr0007', '3003pr0049', '3003pr0036', '3003pr0047', '3003pr0014', '3003pr0050', '3003pr0039', '3003pr0016', '3003pr0046', '3003pr0026', '3003pr0044', '3003pr0013', '3003pr0037', '3003pr0009', '3003pr0011', '3003pr0012', '3003pr0022', '3003pr0023', '3003pr0117', '3003pr0116', '3003pr0008', '3003pr0034', '3003pr0121', '3003pr0137', '3003pr0045', '3003pr9998', '3003pr0139', '3003pr0048', '3003pr0006', '3003pr0018', '3003pr0146', '3003pr0062', '3003pr0042', '3003pr9999', '3003pr1002', '3003pr0119', '3003pr0051', '3003pr0156', '3003pr0155', '3003pr0038', '3003pr0032', '3003pr0040', '3003pr0003', '3003pr0136', '3003pr0103', '3003pr0104', '3003pr0005', '3003pr0115', '3003pr0173', '3003pr0125', '3003pr0142', '3003pr0144', '3003pr0145', '3003pr0147', '3003pr0158', '3003pr0164', '3003pr9997', '3003pr0060', '3003pr0004']","['3003a', '6223', '3003b']","['3003c', '3003d', '3003b', '3003e']",,['3003'],['939628'],"['15591', '3003', '62404']",['3003'],"['15591', '3003', '62404']",,Bricks,2,2,,
3700,Technic Brick 1 x 2 [1 Pin Hole],8,1977,2025,https://rebrickable.com/parts/3700/technic-brick-1-x-2-1-pin-hole/,https://cdn.rebrickable.com/media/parts/elements/370026.jpg,[],['3700b'],[],,['3700'],['64503'],['3700'],['3700'],['3700'],,Technic Bricks,1,2,,1 Pin Hole
