part_num,part_name,part_cat_id,year_from,year_to,part_url,part_img_url,prints,molds,alternates,print_of,external_ids.BrickLink,external_ids.BrickOwl,external_ids.Brickset,external_ids.LDraw,external_ids.LEGO,external_ids.Peeron,category_name,dim1,dim2,dim3,bracket_info
3794a,Plate Special 1 x 2 with 1 Stud without Groove (Jumper),9,1978,2014,https://rebrickable.com/parts/3794a/plate-special-1-x-2-with-1-stud-without-groove-jumper/,https://cdn.rebrickable.com/media/parts/ldraw/0/3794a.png,[],"['15573', '3794b']",[],,['3794a'],['232955'],['3794'],['3794a'],['3794'],['3794'],Plates Special,1,2,,
3623,Plate 1 x 3,14,1977,2025,https://rebrickable.com/parts/3623/plate-1-x-3/,https://cdn.rebrickable.com/media/parts/elements/362326.jpg,"['3623pr0014', '3623pr0027', '3623pr0028', '3623pr0020', '3623pr0018', '3623pr0021', '3623pr0024', '3623pr0019', '3623pr0023', '3623pr0022', '3623pr0030', '3623pr0031', '3623pr0025', '3623pr0026', '3623pr0032', '3623pr0011', '3623pr0008', '3623pr0010', '3623pr0009', '3623pr9999', '3623pr9998', '3623pr0029', '3623pr0013', '3623pr0012']",[],[],,['3623'],['212990'],['3623'],['3623'],['3623'],,Plates,1,3,,
30162,Equipment Binoculars,27,1998,2025,https://rebrickable.com/parts/30162/equipment-binoculars/,https://cdn.rebrickable.com/media/parts/elements/4211051.jpg,[],[],[],,['30162'],['353715'],"['30162', '90465']",['30162'],"['30162', '90465']",,Minifig Accessories,,,,
3005,Brick 1 x 1,11,1954,2025,https://rebrickable.com/parts/3005/brick-1-x-1/,https://cdn.rebrickable.com/media/parts/elements/300501.jpg,"['3005pr9996', '3005pr0003', '3005pr0006', '3005pr9993', '3005pr0026', '3005pr0002', '3005pr0014', '3005pr9995', '3005pr9994', '3005pr0024', '3005pr0033', '3005pr0029', '3005pr9975', '3005pr9989', '3005pr9985', '3005pr9891', '3005pr9905', '3005pr9977', '3005pr9979', '3005pr9998', '3005pr9987', '3005pr9940', '3005pr9959', '3005pr9938', '3005pr9983', '3005pr9914', '3005pr9894', '3005pr9973', '3005pr9897', '3005pr9954', '3005pr9927', '3005pr9930', '3005pr9943', '3005pr9997', '3005pr9935', '3005pr9922', '3005pr9957', '3005pr9933', '3005pr9971', '3005pr9981', '3005pr9946', '3005pr9900', '3005pr9908', '3005pr9961', '3005pr9950', '3005pr9992', '3005pr0030', '3005pr9888', '3005pr9948', '3005pr9917', '3005pr9911', '3005pr0023', '3005pr0004', '3005pr0001', '3005pr9986', '3005pr0063', '3005pr9982', '3005pr0031', '3005pr0027', '3005pr9865', '3005pr0017', '3005pr0040', '3005pr0039', '3005pr0041', '3005pr9881', '3005pr9880', '3005pr9879', '3005pr9878', '3005pr9877', '3005pr0018', '3005pr9876', '3005pr9875', '3005pr9873', '3005pr9874', '3005pr9910', '3005pr9999', '3005pr9939', '3005pr9974', '3005pr9934', '3005pr9890', '3005pr9976', '3005pr9923', '3005pr9893', '3005pr9967', '3005pr0013', '3005pr9962', '3005pr9907', '3005pr9902', '3005pr9887', '3005pr9980', '3005pr9958', '3005pr9913', '3005pr9901', '3005pr9966', '3005pr9988', '3005pr9969', '3005pr0012', '3005pr9972', '3005pr9896', '3005pr9929', '3005pr9945', '3005pr9924', '3005pr9984', '3005pr9926', '3005pr9990', '3005pr9964', '3005pr9899', '3005pr0008', '3005pr0007', '3005pr9916', '3005pr9970', '3005pr9978', '3005pr9947', '3005pr0009', '3005pr9963', '3005pr9937', '3005pr9956', '3005pr9960', '3005pr9942', '3005pr0016', '3005pr9904', '3005pr9925', '3005pr9932', '3005pr9949', '3005pr9952', '3005pr9953', '3005pr0011', '3005pr9920', '3005pr9919', '3005pr9921', '3005pr0022', '3005pr0015', '3005pr0019', '3005pr9991', '3005pr0021', '3005pr0025', '3005pr0032', '3005pr9866', '3005pr0036', '3005pr0037', '3005pr0038', '3005pr9882', '3005pr9892', '3005pr9903', '3005pr9936', '3005pr9895', '3005pr9898', '3005pr9951', '3005pr9906', '3005pr9886', '3005pr9931', '3005pr9968', '3005pr9909', '3005pr9928', '3005pr9867', '3005pr9889', '3005pr9868', '3005pr9955', '3005pr9870', '3005pr9915', '3005pr9869', '3005pr9941', '3005pr9885', '3005pr9884', '3005pr9883', '3005pr9871', '3005pr9918', '3005pr9965', '3005pr9944', '3005pr9912']",[],[],,['3005'],['656416'],"['3005', '30071', '35382']","['3005', '30071']","['3005', '30071', '35382']",,Bricks,1,1,,
47905,Brick Special 1 x 1 with Studs on 2 Sides,5,2004,2025,https://rebrickable.com/parts/47905/brick-special-1-x-1-with-studs-on-2-sides/,https://cdn.rebrickable.com/media/parts/elements/4213568.jpg,[],[],[],,['47905'],['543599'],['47905'],['47905'],['47905'],,Bricks Special,1,1,,
6541,Technic Brick 1 x 1 with Pin Hole,8,1993,2025,https://rebrickable.com/parts/6541/technic-brick-1-x-1-with-pin-hole/,https://cdn.rebrickable.com/media/parts/elements/654126.jpg,[],[],[],,['6541'],['668419'],['6541'],['6541'],['6541'],,Technic Bricks,1,1,,
3023,Plate 1 x 2,14,1962,2025,https://rebrickable.com/parts/3023/plate-1-x-2/,https://cdn.rebrickable.com/media/parts/elements/302326.jpg,"['3023pr0005', '3023pr0001', '3023pr0002', '3023pr0003', '3023pr9997', '3023pr0006', '3023pr0004', '3023pr9998', '3023pr0010', '3023pr0009', '3023pr0011']",['3023a'],[],,['3023'],['44980'],"['28653', '3023', '6225']","['28653', '3023b']","['28653', '3023', '6225']",,Plates,1,2,,
3022,Plate 2 x 2,14,1962,2025,https://rebrickable.com/parts/3022/plate-2-x-2/,https://cdn.rebrickable.com/media/parts/elements/302226.jpg,[],[],[],,['3022'],['566026'],"['3022', '94148']","['3022', '94148']","['3022', '94148']",,Plates,2,2,,
3069b,Tile 1 x 2 with Groove,19,1977,2025,https://rebrickable.com/parts/3069b/tile-1-x-2-with-groove/,https://cdn.rebrickable.com/media/parts/elements/306901.jpg,"['3069bpr0100', '3069bpr0101', '3069bpr0030', '3069bpr0020', '3069bpr0086', '3069bpr0099', '3069bpr0055', '3069bpr0090', '3069bpr0300', '3069bpr0070', '3069bpr0307', '3069bpr0168', '3069bpr0278', '3069bpr0189', '3069bpr0130', '3069bpr0039', '3069bpr0043', '3069bpr0301', '3069bpr0048', '3069bpr9989', '3069bpr0021', '3069bpr0198', '3069bpr0276', '3069bpr0302', '3069bpr0049', '3069bpr0148', '3069bpr0204', '3069bpr0137', '3069bpr0023', '3069bpr0155', '3069bpr0303', '3069bpr0304', '3069bpr0025', '3069bpr0376', '3069bpr0016', '3069bpr0271', '3069bpr0038', '3069bpr0036', '3069bpr0371', '3069bpr0266', '3069bpr0144', '3069bpr0290', '3069bpr0040', '3069bpr0026', '3069bpr0176', '3069bpr0115', '3069bpr0175', '3069bpr0369', '3069bpr0238', '3069bpr0047', '3069bpr0305', '3069bpr0042', '3069bpr0051', '3069bpr0120', '3069bpr0058', '3069bpr0269', '3069bpr0046', '3069bpr0073', '3069bpr0396', '3069bpr0044', '3069bpr0093', '3069bpr0052', '3069bpr0027', '3069bpr0206', '3069bpr0053', '3069bpr0158', '3069bpr0149', '3069bpr0284', '3069bpr9996', '3069bpr0056', '3069bpr0118', '3069bpr0314', '3069bpr0265', '3069bpr0045', '3069bpr0037', '3069bpr9981', '3069bpr0035', '3069bpr0041', '3069bpr0098', '3069bpr0085', '3069bpr0136', '3069bpr0417', '3069bpr0366', '3069bpr0022', '3069bpr9975', '3069bpr0364', '3069bpr0078', '3069bpr9939', '3069bpr0386', '3069bpr0153', '3069bpr0725', '3069bpr0294', '3069bpr0367', '3069bpr0054', '3069bpr0370', '3069bpr0286', '3069bpr0050', '3069bpr0097', '3069bpr0313', '3069bpr0315', '3069bpr0418', '3069bpr0104', '3069bpr0192', '3069bpr0003', '3069bpr0408', '3069bpr0109', '3069bpr0288', '3069bpr0402', '3069bpr0028', '3069bpr0087', '3069bpr0178', '3069bpr0089', '3069bpr0113', '3069bpr0065', '3069bpr0289', '3069bpr0103', '3069bpr9942', '3069bpr0057', '3069bpr0138', '3069bpr0423', '3069bpr0083', '3069bpr0197', '3069bpr0169', '3069bpr0187', '3069bpr0336', '3069bpr0325', '3069bpr0091', '3069bpr0084', '3069bpr0188', '3069bpr0393', '3069bpr0232', '3069bpr0062', '3069bpr0110', '3069bpr0247', '3069bpr0292', '3069bpr0060', '3069bpr0248', '3069bpr0218', '3069bpr0249', '3069bpr0161', '3069bpr0159', '3069bpr0117', '3069bpr0107', '3069bpr9991', '3069bpr0293', '3069bpr9979', '3069bpr0333', '3069bpr0075', '3069bpr0032', '3069bpr0348', '3069bpr0071', '3069bpr0356', '3069bpr0092', '3069bpr0379', '3069bpr0378', '3069bpr0033', '3069bpr0387', '3069bpr9932', '3069bpr0390', '3069bpr0397', '3069bpr0024', '3069bpr9972', '3069bpr0426', '3069bpr0079', '3069bpr0411', '3069bpr0010', '3069bpr9963', '3069bpr9959', '3069bpr9962', '3069bpr9958', '3069bpr9957', '3069bpr0096', '3069bpr0102', '3069bpr0167', '3069bpr0031', '3069bpr0163', '3069bpr0179', '3069bpr0291', '3069bpr0205', '3069bpr0357', '3069bpr0360', '3069bpr0340', '3069bpr0235', '3069bpr0353', '3069bpr9955', '3069bpr0355', '3069bpr0352', '3069bpr0362', '3069bpr0375', '3069bpr0373', '3069bpr0374', '3069bpr0377', '3069bpr0382', '3069bpr0381', '3069bpr0385', '3069bpr0388', '3069bpr0389', '3069bpr0384', '3069bpr0380', '3069bpr0383', '3069bpr0391', '3069bpr0392', '3069bpr0394', '3069bpr9978', '3069bpr9913', '3069bpr0405', '3069bpr0403', '3069bpr0401', '3069bpr9977', '3069bpr0409', '3069bpr9973', '3069bpr0412', '3069bpr0413', '3069bpr0414', '3069bpr0406', '3069bpr9970', '3069bpr9966', '3069bpr9969', '3069bpr0415', '3069bpr9967', '3069bpr9968', '3069bpr9952', '3069bpr9954', '3069bpr9953', '3069bpr0452', '3069bpr0435', '3069bpr0429', '3069bpr9949', '3069bpr0434', '3069bpr0444', '3069bpr0442', '3069bpr0443', '3069bpr0446', '3069bpr9350', '3069bpr9941', '3069bpr9940', '3069bpr9938', '3069bpr9937', '3069bpr9936', '3069bpr9935', '3069bpr9934', '3069bpr9928', '3069bpr9931', '3069bpr9920', '3069bpr9918', '3069bpr9916', '3069bpr9910', '3069bpr9929', '3069bpr9927', '3069bpr9925', '3069bpr9923', '3069bpr9921', '3069bpr9906', '3069bpr9919', '3069bpr9915', '3069bpr9930', '3069bpr9924', '3069bpr9914', '3069bpr9911', '3069bpr9907', '3069bpr9933', '3069bpr9917', '3069bpr9909', '3069bpr9922', '3069bpr9904', '3069bpr9905', '3069bpr0354', '3069bpr0015', '3069bpr0220', '3069bpr0242', '3069bpr0257', '3069bpr0214', '3069bpr0018', '3069bpr0338', '3069bpr0234', '3069bpr0151', '3069bpr0139', '3069bpr9986', '3069bpr0186', '3069bpr9985', '3069bpr9984', '3069bpr0126', '3069bpr0212', '3069bpr0121', '3069bpr0128', '3069bpr0106', '3069bpr0141', '3069bpr0105', '3069bpr0210', '3069bpr0154', '3069bpr0072', '3069bpr0142', '3069bpr0088', '3069bpr0007', '3069bpr0312', '3069bpr9990', '3069bpr0156', '3069bpr0116', '3069bpr0185', '3069bpr0034', '3069bpr0202', '3069bpr0230', '3069bpr0005', '3069bpr0008', '3069bpr0009', '3069bpr0134', '3069bpr0112', '3069bpr0140', '3069bpr0150', '3069bpr0076', '3069bpr0123', '3069bpr0135', '3069bpr0059', '3069bpr0133', '3069bpr9982', '3069bpr0132', '3069bpr9912', '3069bpr0114', '3069bpr0143', '3069bpr0146', '3069bpr0147', '3069bpr0279', '3069bpr0145', '3069bpr0273', '3069bpr0162', '3069bpr0157', '3069bpr0166', '3069bpr0203', '3069bpr0171', '3069bpr0165', '3069bpr0407', '3069bpr0227', '3069bpr0160', '3069bpr0172', '3069bpr0129', '3069bpr0321', '3069bpr0320', '3069bpr0124', '3069bpr0094', '3069bpr0127', '3069bpr0080', '3069bpr0064', '3069bpr0173', '3069bpr0006', '3069bpr0164', '3069bpr0067', '3069bpr0183', '3069bpr0122', '3069bpr0182', '3069bpr0077', '3069bpr0069', '3069bpr0068', '3069bpr0019', '3069bpr0108', '3069bpr0014', '3069bpr0074', '3069bpr0181', '3069bpr0063', '3069bpr0125', '3069bpr0111', '3069bpr0013', '3069bpr0012', '3069bpr0285', '3069bpr0152', '3069bpr0119', '3069bpr0002', '3069bpr0081', '3069bpr0184', '3069bpr0190', '3069bpr0170', '3069bpr0082', '3069bpr0004', '3069bpr0061', '3069bpr0066', '3069bpr0131', '3069bpr9999', '3069bpr0346', '3069bpr0347', '3069bpr0236', '3069bpr9983', '3069bpr0295', '3069bpr0296', '3069bpr0264', '3069bpr0221', '3069bpr0339', '3069bpr9995', '3069bpr0253', '3069bpr0251', '3069bpr0262', '3069bpr0254', '3069bpr0174', '3069bpr0001', '3069bpr0180', '3069bpr0195', '3069bpr0196', '3069bpr0239', '3069bpr0177', '3069bpr0191', '3069bpr0194', '3069bpr0199', '3069bpr0200', '3069bpr0201', '3069bpr0372', '3069bpr0193', '3069bpr0207', '3069bpr9998', '3069bpr0244', '3069bpr0243', '3069bpr0223', '3069bpr0224', '3069bpr0237', '3069bpr0250', '3069bpr9908', '3069bpr9994', '3069bpr0017', '3069bpr0252', '3069bpr9992', '3069bpr0259', '3069bpr9993', '3069bpr0245', '3069bpr0246', '3069bpr0258', '3069bpr0256', '3069bpr0255', '3069bpr0260', '3069bpr0261', '3069bpr0274', '3069bpr0280', '3069bpr0281', '3069bpr0267', '3069bpr9987', '3069bpr0326', '3069bpr0322', '3069bpr0317', '3069bpr0337', '3069bpr0328', '3069bpr0341', '3069bpr0350', '3069bpr0343', '3069bpr9997', '3069bpr0342', '3069bpr0349', '3069bpr0351', '3069bpr0359', '3069bpr0358', '3069bpr9903']",['3069a'],[],,['3069'],['487300'],"['30070', '3069', '35386', '37293', '45880', '54285', '63286']",['3069b'],"['15598', '30070', '3069', '35386', '37293', '45880', '54285', '59489', '63286']",,Tiles,1,2,,
43723,Wedge Plate 3 x 2 Left,49,2002,2025,https://rebrickable.com/parts/43723/wedge-plate-3-x-2-left/,https://cdn.rebrickable.com/media/parts/elements/4211794.jpg,"['43723pr0003', '43723pr0001', '43723pr0002']",[],[],,['43723'],['724978'],['43723'],['43723'],['43723'],,Plates Angled,3,2,,
