part_num,part_name,part_cat_id,year_from,year_to,part_url,part_img_url,prints,molds,alternates,print_of,external_ids.BrickLink,external_ids.BrickOwl,external_ids.Brickset,external_ids.LDraw,external_ids.LEGO,external_ids.Peeron,category_name,dim1,dim2,dim3,bracket_info
3022,Plate 2 x 2,14,1962,2025,https://rebrickable.com/parts/3022/plate-2-x-2/,https://cdn.rebrickable.com/media/parts/elements/302226.jpg,[],[],[],,['3022'],['566026'],"['3022', '94148']","['3022', '94148']","['3022', '94148']",,Plates,2,2,,
88292,Brick Arch 1 x 3 x 2,37,2010,2025,https://rebrickable.com/parts/88292/brick-arch-1-x-3-x-2/,https://cdn.rebrickable.com/media/parts/elements/4568956.jpg,[],[],[],,['88292'],['301137'],['88292'],['88292'],['88292'],,Bricks Curved,1,3,2,
3023,Plate 1 x 2,14,1962,2025,https://rebrickable.com/parts/3023/plate-1-x-2/,https://cdn.rebrickable.com/media/parts/elements/302326.jpg,"['3023pr0005', '3023pr0001', '3023pr0002', '3023pr0003', '3023pr9997', '3023pr0006', '3023pr0004', '3023pr9998', '3023pr0010', '3023pr0009', '3023pr0011']",['3023a'],[],,['3023'],['44980'],"['28653', '3023', '6225']","['28653', '3023b']","['28653', '3023', '6225']",,Plates,1,2,,
87087,Brick Special 1 x 1 with Stud on 1 Side,5,2009,2025,https://rebrickable.com/parts/87087/brick-special-1-x-1-with-stud-on-1-side/,https://cdn.rebrickable.com/media/parts/elements/4558953.jpg,[],[],[],,['87087'],['215571'],['87087'],['87087'],['87087'],,Bricks Special,1,1,,
61409,Slope 18° 2 x 1 x 2/3 with 4 Slots / Grate,3,2008,2025,https://rebrickable.com/parts/61409/slope-18-2-x-1-x-23-with-4-slots-grate/,https://cdn.rebrickable.com/media/parts/elements/4540386.jpg,[],[],[],,['61409'],['912280'],"['18863', '61409', '67119']",['61409b'],"['18863', '61409', '67119']",,Bricks Sloped,2,1,2/3,
50950,Slope Curved 3 x 1 No Studs,37,2005,2025,https://rebrickable.com/parts/50950/slope-curved-3-x-1-no-studs/,https://cdn.rebrickable.com/media/parts/elements/4249112.jpg,['50950pr0001'],[],[],,['50950'],['727597'],"['110132', '1605', '50950', '63278']",['50950'],"['110132', '1605', '50950', '63278']",,Bricks Curved,3,1,,
2431,Tile 1 x 4 with Groove,19,1987,2025,https://rebrickable.com/parts/2431/tile-1-x-4-with-groove/,https://cdn.rebrickable.com/media/parts/elements/243126.jpg,"['2431pr0017', '2431pr0028', '2431pr0158', '2431pr0156', '2431pr0077', '2431pr0081', '2431pr0115', '2431pr0018', '2431pr0424', '2431pr0425', '2431pr0040', '2431pr0036', '2431pr0015', '2431pr0029', '2431pr0142', '2431pr0021', '2431pr0116', '2431pr0027', '2431pr0013', '2431pr0152', '2431pr0060', '2431pr0043', '2431pr0032', '2431pr0039', '2431pr0083', '2431pr0041', '2431pr0042', '2431pr0076', '2431pr0131', '2431pr0034', '2431pr0141', '2431pr0064', '2431pr0061', '2431pr9993', '2431pr0192', '2431pr0024', '2431pr0019', '2431pr0084', '2431pr0122', '2431pr0001', '2431pr0046', '2431pr0005', '2431pr0037', '2431pr0133', '2431pr0128', '2431pr0160', '2431pr0014', '2431pr0159', '2431pr0148', '2431pr0093', '2431pr0050', '2431pr0056', '2431pr0066', '2431pr0055', '2431pr0070', '2431pr0054', '2431pr0003', '2431pr0121', '2431pr9997', '2431pr0125', '2431pr9998', '2431pr0104', '2431pr0103', '2431pr0117', '2431pr0105', '2431pr0118', '2431pr0205', '2431pr0134', '2431pr0135', '2431pr0094', '2431pr0130', '2431pr0096', '2431pr0132', '2431pr0095', '2431pr0200', '2431pr0202', '2431pr0092', '2431pr0098', '2431pr0099', '2431pr0100', '2431pr0102', '2431pr0101', '2431pr0006', '2431pr0140', '2431pr9999', '2431pr0146', '2431pr0138', '2431pr0136', '2431pr0137', '2431pr0139', '2431pr0151', '2431pr0201', '2431pr0147', '2431pr0143', '2431pr0144', '2431pr0145', '2431pr0154', '2431pr0153', '2431pr0166', '2431pr0164', '2431pr0168', '2431pr0167', '2431pr0165', '2431pr0174', '2431pr0179', '2431pr0157', '2431pr0173', '2431pr0177', '2431pr9995', '2431pr9994', '2431pr0178', '2431pr0204', '2431pr0172', '2431pr0180', '2431pr0193', '2431pr0181', '2431pr0182', '2431pr0184', '2431pr0196', '2431pr9976', '2431pr0228', '2431pr0124', '2431pr0007', '2431pr0170', '2431pr0123', '2431pr0155', '2431pr0088', '2431pr0090', '2431pr0171', '2431pr0004', '2431pr0002', '2431pr0199', '2431pr0059', '2431pr0045', '2431pr0053', '2431pr0063', '2431pr0057', '2431pr0079', '2431pr0023', '2431pr0038', '2431pr0065', '2431pr0062', '2431pr0075', '2431pr0025', '2431pr0186', '2431pr0068', '2431pr0031', '2431pr0020', '2431pr0035', '2431pr0078', '2431pr0049', '2431pr0069', '2431pr0190', '2431pr0058', '2431pr0033', '2431pr0080', '2431pr0150', '2431pr0149', '2431pr0067', '2431pr0052', '2431pr0048', '2431pr0026', '2431pr0047', '2431pr0009', '2431pr0010', '2431pr0011', '2431pr0012', '2431pr0044', '2431pr0162', '2431pr0051', '2431pr0227', '2431pr0129', '2431pr0198', '2431pr0194', '2431pr9992', '2431pr0203', '2431pr0207', '2431pr0206', '2431pr9991', '2431pr9984', '2431pr9985', '2431pr9986', '2431pr9988', '2431pr9987', '2431pr0220', '2431pr0211', '2431pr0210', '2431pr9979', '2431pr0221', '2431pr9978', '2431pr0222', '2431pr0224', '2431pr0223', '2431pr0225', '2431pr0226', '2431pr0195', '2431pr0185']",[],[],,['2431'],['853045'],"['100687', '112418', '2431', '35371', '75703', '91143']",['2431'],"['100687', '112418', '2431', '35371', '75703', '91143']",['2431b'],Tiles,1,4,,
3839b,Plate Special 1 x 2 with Handles [Flat Ends / Low Attachment],9,1978,2025,https://rebrickable.com/parts/3839b/plate-special-1-x-2-with-handles-flat-ends-low-attachment/,https://cdn.rebrickable.com/media/parts/elements/383926.jpg,[],['3839a'],[],,['3839b'],['707955'],['3839'],['3839b'],['3839'],,Plates Special,1,2,,Flat Ends / Low Attachment
54200,Slope 30° 1 x 1 x 2/3 (Cheese Slope),3,2004,2025,https://rebrickable.com/parts/54200/slope-30-1-x-1-x-23-cheese-slope/,https://cdn.rebrickable.com/media/parts/elements/4263949.jpg,"['54200pr0004', '54200pr0005', '54200pr0003', '54200pr0001', '54200pr0006', '54200pr0007', '54200pr0013', '54200pr0014', '54200pr0017', '54200pr0015', '54200pr0016', '54200pr0010', '54200pr0008', '54200pr0020', '54200pr0018', '54200pr0022', '54200pr0019', '54200pr0021', '54200pr0027', '54200pr0023', '54200pr0024', '54200pr0025', '54200pr0026', '54200pr0028', '54200pr0009', '54200pr0029', '54200pr0002']",[],[],,['54200'],['158788'],"['18862', '33847', '35338', '50746', '54200', '63290']",['54200'],"['18862', '33847', '35338', '50746', '54200', '63290']",,Bricks Sloped,1,1,2/3,
48183,Wedge Plate 3 x 4 with Stud Notches,49,2003,2011,https://rebrickable.com/parts/48183/wedge-plate-3-x-4-with-stud-notches/,https://cdn.rebrickable.com/media/parts/elements/4240013.jpg,[],['90194'],['4859'],,['48183'],['394922'],"['48183', '4859']",['48183'],"['48183', '4859']",,Plates Angled,3,4,,
