part_num,part_name,part_cat_id,year_from,year_to,part_url,part_img_url,prints,molds,alternates,print_of,external_ids.BrickLink,external_ids.BrickOwl,external_ids.Brickset,external_ids.LDraw,external_ids.LEGO,external_ids.Peeron,category_name,dim1,dim2,dim3,bracket_info
3795,Plate 2 x 6,14,1978,2025,https://rebrickable.com/parts/3795/plate-2-x-6/,https://cdn.rebrickable.com/media/parts/elements/379526.jpg,[],['3795a'],['32001'],,['3795'],['735504'],['3795'],['3795'],['3795'],,Plates,2,6,,
3031,Plate 4 x 4,14,1970,2025,https://rebrickable.com/parts/3031/plate-4-x-4/,https://cdn.rebrickable.com/media/parts/elements/303126.jpg,[],[],[],,['3031'],['163746'],['3031'],['3031'],['3031'],,Plates,4,4,,
3710,Plate 1 x 4,14,1976,2025,https://rebrickable.com/parts/3710/plate-1-x-4/,https://cdn.rebrickable.com/media/parts/elements/371026.jpg,"['3710pr0003', '3710pr0001', '3710pr0002']",[],[],,['3710'],['515555'],['3710'],['3710'],['3710'],,Plates,1,4,,
3032,Plate 4 x 6,14,1969,2025,https://rebrickable.com/parts/3032/plate-4-x-6/,https://cdn.rebrickable.com/media/parts/elements/303226.jpg,[],[],[],,['3032'],['514495'],['3032'],['3032'],['3032'],,Plates,4,6,,
3001,Brick 2 x 4,11,1979,2025,https://rebrickable.com/parts/3001/brick-2-x-4/,https://cdn.rebrickable.com/media/parts/elements/300121.jpg,"['3001pr0043', '3001pr0009', '3001pr0016', '3001pr0002', '3001pr0011', '3001pr1042', '3001pr0006', '3001pr1015', '3001pr0010', '3001pr9982', '3001pr9990', '3001pr0033', '3001pr9999', '3001pr0038', '3001pr0013', '3001pr0041', '3001pr0024', '3001pr0028', '3001pr0021', '3001pr0029', '3001pr0119', '3001pr0031', '3001pr0030', '3001pr0040', '3001pr0004', '3001pr0019', '3001pr0037', '3001pr0012', '3001pr0036', '3001pr0027', '3001pr0020', '3001pr0014', '3001pr0015', '3001pr0008', '3001pr0017', '3001pr0042', '3001pr0032', '3001pr0026', '3001pr0025', '3001pr0034', '3001pr0022', '3001pr0044', '3001pr1040', '3001pr1038', '3001pr1039', '3001pr1037', '3001pr1041', '3001pr9991', '3001pr1018', '3001pr1005', '3001pr1020', '3001pr0003', '3001pr1043', '3001pr9992', '3001pr9989', '3001pr1051', '3001pr9988', '3001pr9987', '3001pr9986', '3001pr9985', '3001pr9984', '3001pr9983', '3001pr9981', '3001pr0046', '3001pr0035', '3001pr0023', '3001pr0007', '3001pr0039', '3001pr0001', '3001pr0018', '3001pr0045']","['3001a', '30160', '3556', '3001d', '3001c', '3001b', '3001e']","['39789', 'upn0041', 'upn0041a', 'upn0041e', 'upn0041d', 'upn0041c', 'upn0041b']",,['3001'],['771344'],"['15589', '3001', '54534', '72841']",['3001'],"['15589', '3001', '54534', '72841']",,Bricks,2,4,,
3937,Hinge Brick 1 x 2 Base,18,1979,2025,https://rebrickable.com/parts/3937/hinge-brick-1-x-2-base/,https://cdn.rebrickable.com/media/parts/elements/393726.jpg,[],[],[],,['3937'],['845752'],['3937'],['3937'],['3937'],,"Hinges, Arms and Turntables",1,2,,
43710,Wedge Sloped 4 x 2 Triple Left,6,2003,2025,https://rebrickable.com/parts/43710/wedge-sloped-4-x-2-triple-left/,https://cdn.rebrickable.com/media/parts/elements/4210866.jpg,['43710pr0001'],[],[],,['43710'],['172740'],['43710'],['43710'],['43710'],,Bricks Wedged,4,2,,
43711,Wedge Sloped 4 x 2 Triple Right,6,2003,2025,https://rebrickable.com/parts/43711/wedge-sloped-4-x-2-triple-right/,https://cdn.rebrickable.com/media/parts/elements/4210867.jpg,['43711pr0001'],[],[],,['43711'],['701059'],['43711'],['43711'],['43711'],,Bricks Wedged,4,2,,
3040b,Slope 45° 2 x 1 with Bottom Pin,3,1978,2025,https://rebrickable.com/parts/3040b/slope-45-2-x-1-with-bottom-pin/,https://cdn.rebrickable.com/media/parts/elements/304001.jpg,"['3040bpr0003', '3040bpr0013', '3040bpr0011', '3040bpr0010', '3040bpr0006', '3040bpr0004', '3040bpr0008', '3040bpr0012', '3040bpr0007', '3040bpr0009', '3040bpr0002', '3040bpr9999', '3040bpr9998', '3040bpr0001', '3040bpr0005']",['3040a'],[],,['3040'],['735007'],"['3040', '35281', '6270']",['3040b'],"['3040', '35281', '6270']",,Bricks Sloped,2,1,,
4592,Lever Small Base,32,2001,2004,https://rebrickable.com/parts/4592/lever-small-base/,https://cdn.rebrickable.com/media/parts/ldraw/1/4592.png,[],[],[],,['4592'],['41121'],,['4592'],"['298', '4592']",,"Bars, Ladders and Fences",,,,
