part_id,color,x,y,z,a,b,c,d,e,f,g,h,i,part,part_name,part_cat_id,year_from,year_to,category_name,dim1,dim2,dim3,bracket_info
120,15,50.0,-64.0,-100.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,63864,Tile 1 x 3,19.0,2010.0,2025.0,Tiles,1.0,3.0,,
121,15,-50.0,-48.0,-60.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,54200,Slope 30° 1 x 1 x 2/3 (Cheese Slope),3.0,2004.0,2025.0,Bricks Sloped,1.0,1.0,2/3,
122,15,50.0,-48.0,-60.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,54200,Slope 30° 1 x 1 x 2/3 (Cheese Slope),3.0,2004.0,2025.0,Bricks Sloped,1.0,1.0,2/3,
123,72,-30.0,-14.0,-140.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11214,Technic Axle Pin 3L with Friction Ridges Lengthwise and 1L Axle,53.0,2014.0,2025.0,Technic Pins,,,,
124,15,-50.0,-34.0,-140.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,42003,Technic Axle and Pin Connector Perpendicular 3L with 2 Pin Holes,12.0,2002.0,2025.0,Technic Connectors,,,,
125,71,-50.0,-54.0,-150.0,0.0,-1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,4274,Technic Pin 1/2,53.0,1980.0,2025.0,Technic Pins,,,,
126,47,-50.0,-54.0,-158.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,98138,Tile Round 1 x 1,67.0,2011.0,2025.0,Tiles Round and Curved,1.0,1.0,,
127,72,30.0,-14.0,-140.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,11214,Technic Axle Pin 3L with Friction Ridges Lengthwise and 1L Axle,53.0,2014.0,2025.0,Technic Pins,,,,
128,15,50.0,-34.0,-140.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,42003,Technic Axle and Pin Connector Perpendicular 3L with 2 Pin Holes,12.0,2002.0,2025.0,Technic Connectors,,,,
129,71,50.0,-54.0,-150.0,0.0,-1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,4274,Technic Pin 1/2,53.0,1980.0,2025.0,Technic Pins,,,,
