part_id_1,part_id_2,part_num_1,part_num_2,connected
0,1,6112,6112,0
0,2,6112,30000,1
0,3,6112,30000,1
0,4,6112,2877,0
0,5,6112,3660,0
0,6,6112,30000,1
0,7,6112,30000,1
0,8,6112,30000,1
0,9,6112,6565,0
0,10,6112,6564,1
0,11,6112,20006,0
0,12,6112,3003,1
0,13,6112,6565,1
0,14,6112,6564,0
0,15,6112,2877,1
0,16,6112,3020,1
0,17,6112,2412b,0
0,18,6112,3023,0
0,19,6112,3023,0
0,20,6112,3039,0
0,21,6112,3039,0
0,22,6112,3003,0
0,23,6112,4070,0
0,24,6112,4070,0
0,25,6112,3794b,0
0,26,6112,43723,0
0,27,6112,43722,0
0,28,6112,3710,0
0,29,6112,32000,0
0,30,6112,32000,0
0,31,6112,4274,0
0,32,6112,4274,0
0,33,6112,4274,0
0,34,6112,4274,0
0,35,6112,32001,0
0,36,6112,43711,0
0,37,6112,43710,0
0,38,6112,20006,0
0,39,6112,20006,0
0,40,6112,3062b,0
0,41,6112,3062b,0
0,42,6112,4697a,0
0,43,6112,4697a,0
0,44,6112,4032a,0
0,45,6112,4599a,0
0,46,6112,4592,0
0,47,6112,4593,0
0,48,6112,3957a,0
0,49,6112,3062b,0
0,50,6112,55981,0
0,51,6112,55981,0
0,52,6112,55981,0
0,53,6112,55981,0
0,54,6112,55981,0
0,55,6112,55981,0
0,56,6112,55981,0
0,57,6112,55981,0
0,58,6112,55981,0
0,59,6112,55981,0
0,60,6112,6232,1
0,61,6112,3701,0
0,62,6112,3037,0
0,63,6112,3069b,0
0,64,6112,30162,0
0,65,6112,3037,0
0,66,6112,3069b,0
0,67,6112,30162,0
1,2,6112,30000,1
1,3,6112,30000,1
1,4,6112,2877,0
1,5,6112,3660,0
1,6,6112,30000,1
1,7,6112,30000,1
1,8,6112,30000,1
1,9,6112,6565,1
1,10,6112,6564,0
1,11,6112,20006,0
1,12,6112,3003,1
1,13,6112,6565,0
1,14,6112,6564,1
1,15,6112,2877,1
1,16,6112,3020,1
1,17,6112,2412b,0
1,18,6112,3023,0
1,19,6112,3023,0
1,20,6112,3039,0
1,21,6112,3039,0
1,22,6112,3003,0
1,23,6112,4070,0
1,24,6112,4070,0
1,25,6112,3794b,0
1,26,6112,43723,0
1,27,6112,43722,0
1,28,6112,3710,0
1,29,6112,32000,0
1,30,6112,32000,0
1,31,6112,4274,0
1,32,6112,4274,0
1,33,6112,4274,0
1,34,6112,4274,0
1,35,6112,32001,0
1,36,6112,43711,0
1,37,6112,43710,0
1,38,6112,20006,0
1,39,6112,20006,0
1,40,6112,3062b,0
1,41,6112,3062b,0
1,42,6112,4697a,0
1,43,6112,4697a,0
1,44,6112,4032a,0
1,45,6112,4599a,0
1,46,6112,4592,0
1,47,6112,4593,0
1,48,6112,3957a,0
1,49,6112,3062b,0
1,50,6112,55981,0
1,51,6112,55981,0
1,52,6112,55981,0
1,53,6112,55981,0
1,54,6112,55981,0
1,55,6112,55981,0
1,56,6112,55981,0
1,57,6112,55981,0
1,58,6112,55981,0
1,59,6112,55981,0
1,60,6112,6232,1
1,61,6112,3701,0
1,62,6112,3037,0
1,63,6112,3069b,0
1,64,6112,30162,0
